safety_gate,evidence_gate,bias_gate,calibration_gate,traceability_gate,detection_rate,throughput,fn_harm,friction
0.6010438509810552,0.1575366816674685,0.5450643997441239,0.1517659932582742,0.1344748270156273,1.0,0.5091666666666667,0.0,3.5472748449128644
0.5277810480518659,0.1272069195767676,0.1,0.2273967913789789,0.1259337124731377,1.0,0.1879166666666666,0.0,3.454818937707724
0.1213289784774197,0.1040510666820186,0.8007729454200349,0.1030542040433388,0.127553313708496,0.2983333333333333,0.885,347.26009738426467,3.360759205331372
0.2438739150111223,0.1035859153576647,0.7953378161435625,0.1000293543073253,0.112265914249311,0.4883333333333333,0.8870833333333333,240.80374254098624,3.3924744796966486
0.118427827868192,0.1,0.2314076948768806,0.1071462400007693,0.1,0.7083333333333334,0.51875,114.48672547659058,3.2595372756083165
0.1,0.1022220956653171,0.5553133750098904,0.1023136439514514,0.1302822373256625,0.3583333333333333,0.8533333333333334,304.5824954159855,3.298698193453643
0.1560385999787775,0.1088741497779006,0.1931837043741614,0.1234916202028899,0.1230236812030464,0.7816666666666666,0.4379166666666667,82.11178494913256,3.285962271860424
0.1380506618486533,0.1,0.6623306748997809,0.1,0.1197625819866234,0.32,0.8775,330.32021080640607,3.327488810397154
0.3696790266382028,0.1059867871442319,0.1356578410940244,0.1572753644747927,0.1202997078213221,0.9633333333333334,0.2995833333333333,12.09131397658517,3.366273202147178
0.6078363158442679,0.2120794680108845,0.4786799710806932,0.1,0.1413942851802656,1.0,0.475,0.0,3.538620348537727
0.2876153230037617,0.1,0.1695564190765692,0.1,0.1211434602327579,0.8783333333333333,0.39875,42.81631924857572,3.315975629499393
0.1718686945017611,0.103572562706103,0.2418130913047558,0.1,0.1,0.715,0.5395833333333333,110.928925571025,3.2748973150601137
0.494646152153136,0.1515950522136481,0.3652054498339858,0.1242138458366698,0.1150241723886557,0.9916666666666668,0.5925,2.974668558658977,3.430996173693372
0.3236540602860196,0.1399229385574996,0.3011936233129367,0.114058686790176,0.1168101329953649,0.8416666666666667,0.6141666666666666,60.07331833922668,3.3485642161581746
0.1643456033713786,0.1066201501566067,0.1990805410322502,0.1,0.1284762794309803,0.7683333333333333,0.455,87.58083231979971,3.281629149039662
0.1283847984294194,0.1400053883812099,0.3881755839106952,0.1029998433571587,0.1034643876988328,0.5333333333333333,0.7366666666666667,202.03771931572757,3.285592452027012
0.1,0.112362287392991,0.2642909024306101,0.1094241240460757,0.1,0.6733333333333333,0.5695833333333333,130.0827282375435,3.261073313036231
0.3291824654869946,0.120861962283979,0.4184232042178899,0.2118230500952129,0.1246641519643046,0.8266666666666667,0.6758333333333333,71.18513772440554,3.398330998426991
0.3861066395577132,0.1009108796266431,0.1500805335862046,0.1610754532826562,0.1165342066227634,0.9733333333333334,0.32625,9.043995965587008,3.3708047569087345
0.1,0.1065464204400852,0.5019596612763376,0.103489097563556,0.1276929966883191,0.41,0.8279166666666666,273.4719059275276,3.2903991465359947
0.5415480119851618,0.1367659638997697,0.6217790351541915,0.101280717527603,0.1236208983075226,0.9933333333333332,0.6458333333333334,2.485832870568451,3.501601662349102
0.1,0.105246674628374,0.2719832036642712,0.1022977092903325,0.1152324180485555,0.6616666666666666,0.5829166666666666,135.4690411542438,3.261504053639436
0.3642346779020209,0.1096507887566898,0.6082046443461271,0.1062737044084543,0.1325911666416868,0.8183333333333334,0.83875,80.42919909488131,3.4039174610059937
0.1054771187959546,0.1172220250214569,0.5438404685695698,0.101544227492438,0.1320969931621163,0.3833333333333333,0.8429166666666666,289.8118420672677,3.303552869228985
0.5404288457014532,0.1353878402901966,0.6961650607470197,0.1,0.1390628704340394,0.9933333333333332,0.6533333333333333,2.485832870568451,3.52495118537726
0.2700205033065512,0.1059875206387797,0.1,0.1666119388268501,0.1038172437595048,0.935,0.2354166666666666,22.77947794915938,3.329428435989904
0.3871952693758587,0.1557840969945965,0.7648569323370895,0.1026834716985964,0.1345323526971344,0.8633333333333333,0.8208333333333333,63.2318172001759,3.469908116130544
0.2425798890088387,0.1088107950704003,0.3718240456554008,0.1002614112214794,0.1151235940741505,0.65,0.7266666666666667,144.98683410364546,3.310762646509635
0.1722046657387982,0.110250991135047,0.6824006481588532,0.1154942095320028,0.121742450945997,0.3816666666666666,0.8679166666666667,299.1725295402102,3.352301503021343
0.2613189077928298,0.1032085476099107,0.8006780745617363,0.1078494694989489,0.126016427025683,0.55,0.8795833333333334,210.8590333926149,3.407577523452464
0.1964312038693034,0.1141251348383622,0.5281136664758728,0.1010342766186911,0.1384183656206768,0.4983333333333333,0.8379166666666666,226.25810554656132,3.328188766787461
0.3833733385172289,0.1031749319522727,0.2251852219257929,0.1062995039903547,0.1260448501650431,0.95,0.4866666666666667,17.895700638319177,3.355402621007168
0.1307473053577756,0.1045367218889839,0.1109266391137694,0.1102102615254462,0.1236931040385679,0.8666666666666667,0.2725,47.78651876357915,3.2700803184026324
0.3242745689308379,0.1355469142554214,0.5566236273122872,0.108390033497215,0.1099186110463865,0.7366666666666667,0.8329166666666666,114.8136245728436,3.378740447032469
