seed,safety_gate,evidence_gate,bias_gate,calibration_gate,traceability_gate,detection_rate,safe_throughput,fn_harm,friction,regime
42,0.5669774816626882,0.11299335103312612,0.0827006169126492,0.07874477666016397,0.0762546026823673,1.0,0.17000000000000004,0.0,3.4007215673452387,AR_nsga2_seed42
42,0.49417979196926787,0.184926082721079,0.5561503500471467,0.11329282034308127,0.1,0.9966666666666667,0.6766666666666666,0.5774022888612046,3.4798565595010333,AR_nsga2_seed42
42,0.29527611483657557,0.09995159309051349,0.7156755055387153,0.16672962911817088,0.10035191358300463,0.6066666666666667,0.83,88.30794098452839,3.416645796082082,AR_nsga2_seed42
42,0.46156173245802923,0.10037754609529827,0.18170918007447137,0.09972547114777547,0.07028560376760541,0.9866666666666667,0.4016666666666666,2.150164325055576,3.363781113885604,AR_nsga2_seed42
42,0.36034171169776164,0.09891262259161022,0.731237710349634,0.15831602919788326,0.1000252696831373,0.7866666666666666,0.8266666666666667,46.24267123779731,3.4436159514258544,AR_nsga2_seed42
42,0.3993882199973606,0.1,0.5251433499153946,0.10022292288829594,0.08469537936063687,0.88,0.8116666666666666,24.132757023541945,3.384196994680589,AR_nsga2_seed42
42,0.4180093950794464,0.18236321555431273,0.4425262884191587,0.09982152440947208,0.08244104706265432,0.9266666666666666,0.7158333333333333,13.520259732759598,3.4057198474332786,AR_nsga2_seed42
42,0.445173372767543,0.14993032339512974,0.3786469111276054,0.11155543865270721,0.13117383536075605,0.96,0.655,7.277732853915006,3.4137595660948574,AR_nsga2_seed42
42,0.4177542394401231,0.09987880853802507,0.7337401428688781,0.16499098104952653,0.09950913904766505,0.9066666666666666,0.7866666666666666,18.823188171876513,3.4739523143820756,AR_nsga2_seed42
42,0.5673628901617798,0.10000010645969111,0.15993297727907926,0.07776356540339452,0.08096194459243825,1.0,0.2958333333333334,0.0,3.402438176609269,AR_nsga2_seed42
42,0.5673997461798467,0.09998874340268166,0.2627026814835119,0.07404172594100492,0.08054806155836643,1.0,0.44999999999999996,0.0,3.4087624281527034,AR_nsga2_seed42
42,0.5703571095421298,0.09935738397079599,0.21157066391382026,0.08566139159251411,0.06994445284100329,1.0,0.3733333333333333,0.0,3.4063473700053346,AR_nsga2_seed42
42,0.561924325810832,0.113449738635616,0.10049548442331184,0.07983981022755654,0.07735622977654348,1.0,0.19666666666666666,0.0,3.4014717061192443,AR_nsga2_seed42
42,0.5684272085262402,0.10579618265638681,0.35970488347223933,0.08462210264258305,0.1106645134575109,1.0,0.5416666666666666,0.0,3.4377128356554083,AR_nsga2_seed42
42,0.5699663141613959,0.10653634086018834,0.16539387587793464,0.07572597743514105,0.08104734803083431,1.0,0.30166666666666675,0.0,3.4054589344589474,AR_nsga2_seed42
42,0.3988244588439257,0.1045912959558126,0.4416085201004378,0.1429337800902894,0.09941517547988026,0.8966666666666666,0.7433333333333333,20.524487725843258,3.389050652962059,AR_nsga2_seed42
42,0.5633223081397276,0.0913820156173233,0.47635778033276815,0.12407423373371665,0.11943423547720729,1.0,0.595,0.0,3.4715056566740072,AR_nsga2_seed42
42,0.47505880636873055,0.18552560617856487,0.5400871677519652,0.1,0.09402647029673844,0.9866666666666667,0.6933333333333334,2.330569893706529,3.460584915140393,AR_nsga2_seed42
42,0.49311913981912114,0.11281598576531114,0.3034720215719549,0.1558053852233096,0.03914283087293061,0.9966666666666667,0.5441666666666667,0.5774022888612046,3.4000451994725234,AR_nsga2_seed42
42,0.5684080474268969,0.10573006314062064,0.2899417686914179,0.08542618968997498,0.08185013211176378,1.0,0.48083333333333333,0.0,3.418320318066234,AR_nsga2_seed42
42,0.41488112939539823,0.18327850279729788,0.5389727060694444,0.1,0.0824175837644488,0.9166666666666666,0.76,15.927362522220074,3.4251060917999165,AR_nsga2_seed42
42,0.5159524613428456,0.10014212183523788,0.2028470532999855,0.1,0.07001343248011066,0.9966666666666667,0.39749999999999996,0.5774022888612046,3.3876842239795986,AR_nsga2_seed42
42,0.569993376870325,0.10120754173368503,0.4396267798789938,0.1282571560979429,0.1,1.0,0.5741666666666667,0.0,3.465094274569979,AR_nsga2_seed42
42,0.4812877335124992,0.16636630936579339,0.37859924419474206,0.11218016006237629,0.0986638929256413,0.99,0.6183333333333333,1.6680395938317016,3.4273615049864845,AR_nsga2_seed42
42,0.4472001157436795,0.15101845650764967,0.3783225677910538,0.11152157391508374,0.13082071435260895,0.9633333333333334,0.6533333333333333,6.547832022896673,3.414967494202869,AR_nsga2_seed42
42,0.4755477196587681,0.18549944546359962,0.5237972310698982,0.11183046116543223,0.08067323603219793,0.9866666666666667,0.6891666666666667,2.330569893706529,3.4563632558768633,AR_nsga2_seed42
42,0.4714120708356988,0.12099369389162534,0.5183991429753334,0.10943855309240295,0.09339151507859278,0.9833333333333333,0.7316666666666667,3.102558841947235,3.4302029754352685,AR_nsga2_seed42
