parameter,S1,S1_ci_lo,S1_ci_hi,ST,ST_ci_lo,ST_ci_hi,status,regime,rank
safety_gate,0.24870555977507983,0.1680208806917492,0.3473067303891368,0.5309588862499036,0.3636260045656345,0.6381592935374469,configured,AR_sobol_N1024,1
unsafe_base_rate,0.04079494489734071,-0.024456232013335178,0.09630515274544466,0.2812940393879987,0.2081893945632975,0.36675882163601814,ASSUMED,AR_sobol_N1024,2
evidence_gate,0.06316419801995836,0.029027937794554332,0.11405856128711774,0.23719762336501352,0.1853846371268972,0.296372212595491,configured,AR_sobol_N1024,3
calibration_gate,0.050414578367670826,0.0184249366951295,0.10687640980728595,0.22514392493027635,0.14918964484797348,0.2923621383189384,configured,AR_sobol_N1024,4
traceability_gate,-0.0022698155580593593,-0.019746420359629008,0.023840165096793726,0.13376456413615595,0.09645158036945667,0.17455576129038194,configured,AR_sobol_N1024,5
bias_gate,0.024894985856851504,0.00462481732115999,0.052195854446384186,0.1134714351925442,0.06756707492275708,0.15643393444084017,configured,AR_sobol_N1024,6
auditability_noise,-0.010854728859173194,-0.03297053653589436,-0.0004144608658080555,0.020535807122049676,0.01587269584452595,0.0253501444866582,ASSUMED,AR_sobol_N1024,7
