parameter,S1,S1_ci_lo,S1_ci_hi,ST,ST_ci_lo,ST_ci_hi,status,regime,rank
evidence_gate,0.30529580991114247,0.2653985331362357,0.3460755647581382,0.42594949473919586,0.38861958333471563,0.47426028035126316,configured,AR_sobol_N2048,1
calibration_gate,0.2061533125693326,0.174827419505066,0.2395762384190869,0.31898972640433926,0.286519695787182,0.3523745466048565,configured,AR_sobol_N2048,2
traceability_gate,0.08763173205083553,0.06526909829913337,0.11136889529842647,0.15616497722228243,0.1408883839088628,0.17637858989471844,configured,AR_sobol_N2048,3
safety_gate,0.09422159150443248,0.06969763399690967,0.11430580470953436,0.14823301025232696,0.12819607342341638,0.1696671988542777,configured,AR_sobol_N2048,4
bias_gate,0.08933958657398179,0.07389077823818084,0.10736698108770448,0.14205977417333565,0.12499003060463398,0.1570020283134514,configured,AR_sobol_N2048,5
unsafe_base_rate,0.01079555144897065,0.002444306373009615,0.017748976766784347,0.018012753339837585,0.01611117505382152,0.020215816067211772,ASSUMED,AR_sobol_N2048,6
auditability_noise,0.0016177712401899708,-0.00370718915422986,0.007885655473259642,0.008779207109600829,0.007698861667230893,0.009915899819685416,ASSUMED,AR_sobol_N2048,7
