parameter,S1,S1_ci_lo,S1_ci_hi,ST,ST_ci_lo,ST_ci_hi,status,regime,rank
evidence_gate,0.022137359867637953,-1.1746717161180074,0.9351025823249658,0.2849793975773889,0.2678281775407381,0.3126493928625466,configured,AR_sobol_N1024,1
safety_gate,-0.5,-1.8135149920777978,0.4566390895023686,0.22952501886816107,0.2093751515949822,0.24960873288828228,configured,AR_sobol_N1024,2
calibration_gate,0.06268783467686925,-1.1752783066930532,1.0690259298543103,0.19410385405024783,0.1818742670699492,0.2049605188953559,configured,AR_sobol_N1024,3
traceability_gate,-0.5,-1.6746296156871525,0.17963945935775424,0.18709970828331393,0.1708109695880586,0.199879961756862,configured,AR_sobol_N1024,4
bias_gate,0.30972264972917596,-0.5448527025189718,1.4071733985264008,0.13900925458599117,0.12735989766851816,0.1490636250496469,configured,AR_sobol_N1024,5
auditability_noise,-0.004362076989867674,-0.042085378238871776,0.04349458813704655,0.0003780277128900076,0.0003278288360679816,0.00044801259673994643,ASSUMED,AR_sobol_N1024,6
unsafe_base_rate,0.0,0.0,0.0,0.0,0.0,0.0,ASSUMED,AR_sobol_N1024,7
