parameter,S1,S1_ci_lo,S1_ci_hi,ST,ST_ci_lo,ST_ci_hi,status,regime,rank
safety_gate,0.3261110199982132,0.2591192417484574,0.4041499100278848,0.725089421206131,0.6008336953214133,0.8587537011440027,configured,AR_sobol_N2048,1
calibration_gate,0.05156141581644328,0.01594237961666724,0.08788618569261558,0.3055313436163898,0.25630603953789377,0.3645760752119941,configured,AR_sobol_N2048,2
unsafe_base_rate,0.05132067000254109,0.02595756923322567,0.07546141661044302,0.20824872927280882,0.1677209593618949,0.25406739763987046,ASSUMED,AR_sobol_N2048,3
evidence_gate,0.05099927570117116,0.023132106207728716,0.08015022752862384,0.1983668575396818,0.1617864425644713,0.2385196704589325,configured,AR_sobol_N2048,4
bias_gate,0.01926451072703339,0.002743645253606844,0.04189026358058115,0.1532940460557133,0.12078745184559996,0.18785418039715907,configured,AR_sobol_N2048,5
traceability_gate,0.01427214210586396,0.0006867593513625593,0.0267896846019886,0.0783280103331718,0.060369240737429136,0.10158071459247346,configured,AR_sobol_N2048,6
auditability_noise,0.004508304418749773,-0.0038747532745998766,0.0138181212176454,0.014532357334923971,0.01110867241045954,0.018110377876095096,ASSUMED,AR_sobol_N2048,7
