scenario_idx,profile_name,replicate,unsafe_base_rate,auditability_noise,evidence_regime,drift_regime,unsafe_detection_rate,safe_throughput,false_negative_harm,mean_harm_approved,n_approved,n_rejected,tp,fn,tn,fp,precision,recall,mean_total_friction,total_system_friction
3,very_strict,2,0.2,0.02,artefact-heavy,low,1.0,0.004375,0.0,0.09451140943664949,35,9965,2000,0,35,7965,0.2007024586051179,1.0,4.029695174172984,40296.95174172984
3,very_strict,3,0.2,0.02,artefact-heavy,low,1.0,0.003375,0.0,0.10022924532761292,27,9973,2000,0,27,7973,0.20054146194725758,1.0,4.025793732129992,40257.93732129992
3,very_strict,4,0.2,0.02,artefact-heavy,low,1.0,0.0045,0.0,0.10083824389939118,36,9964,2000,0,36,7964,0.20072260136491368,1.0,4.030059062088711,40300.59062088711
4,permissive,0,0.2,0.1,self-report-heavy,high,0.854,0.466125,227.23780424322402,0.29987388788025277,4021,5979,1708,292,3729,4271,0.2856664994146178,0.854,3.6179900334454986,36179.900334454986
4,permissive,1,0.2,0.1,self-report-heavy,high,0.8475,0.4565,231.31732697772145,0.3063654085437366,3957,6043,1695,305,3652,4348,0.280489822935628,0.8475,3.6250124842489035,36250.12484248904
4,permissive,2,0.2,0.1,self-report-heavy,high,0.8725,0.461625,201.98620781128406,0.3067963980143641,3948,6052,1745,255,3693,4307,0.2883344348975545,0.8725,3.6249817628084244,36249.817628084245
4,permissive,3,0.2,0.1,self-report-heavy,high,0.8735,0.461,191.8533637819185,0.29941699155201473,3941,6059,1747,253,3688,4312,0.2883314078230731,0.8735,3.6310747862651347,36310.74786265135
4,permissive,4,0.2,0.1,self-report-heavy,high,0.8455,0.44625,237.35634246731541,0.3088061253906683,3879,6121,1691,309,3570,4430,0.27626204868485543,0.8455,3.6345246218266185,36345.246218266184
4,moderate,0,0.2,0.1,self-report-heavy,high,0.9925,0.180625,11.229809542388725,0.22183275761447113,1460,8540,1985,15,1445,6555,0.23243559718969556,0.9925,3.7751206647786706,37751.206647786705
4,moderate,1,0.2,0.1,self-report-heavy,high,0.9945,0.192125,7.896173093233518,0.21453474308490972,1548,8452,1989,11,1537,6463,0.2353289162328443,0.9945,3.7651042549453124,37651.04254945312
4,moderate,2,0.2,0.1,self-report-heavy,high,0.9925,0.19375,10.48366752669089,0.2211551368791776,1565,8435,1985,15,1550,6450,0.23532898636633076,0.9925,3.773881524515897,37738.81524515897
4,moderate,3,0.2,0.1,self-report-heavy,high,0.9915,0.1865,11.103256165577978,0.22219952376162067,1509,8491,1983,17,1492,6508,0.23354139677305383,0.9915,3.7701901628537104,37701.9016285371
4,moderate,4,0.2,0.1,self-report-heavy,high,0.988,0.18225,17.011024713643863,0.22115277170046654,1482,8518,1976,24,1458,6542,0.23197933787274008,0.988,3.7769217195548066,37769.217195548066
4,strict,0,0.2,0.1,self-report-heavy,high,1.0,0.020125,0.0,0.1428410066415966,161,9839,2000,0,161,7839,0.20327269031405631,1.0,3.9548874319456138,39548.87431945614
4,strict,1,0.2,0.1,self-report-heavy,high,1.0,0.0225,0.0,0.14665217771884212,180,9820,2000,0,180,7820,0.20366598778004075,1.0,3.9493901727286067,39493.901727286066
4,strict,2,0.2,0.1,self-report-heavy,high,1.0,0.021125,0.0,0.1385244585113616,169,9831,2000,0,169,7831,0.20343810395687112,1.0,3.9521849226697348,39521.84922669735
4,strict,3,0.2,0.1,self-report-heavy,high,1.0,0.020625,0.0,0.14331923340632702,165,9835,2000,0,165,7835,0.20335536349771224,1.0,3.9450374932081993,39450.37493208199
4,strict,4,0.2,0.1,self-report-heavy,high,1.0,0.021,0.0,0.14519199785228526,168,9832,2000,0,168,7832,0.20341741253051263,1.0,3.9488452888493506,39488.452888493506
4,very_strict,0,0.2,0.1,self-report-heavy,high,1.0,0.00375,0.0,0.11284597415552954,30,9970,2000,0,30,7970,0.20060180541624875,1.0,4.026061172761183,40260.611727611824
4,very_strict,1,0.2,0.1,self-report-heavy,high,1.0,0.00375,0.0,0.11830985204331278,30,9970,2000,0,30,7970,0.20060180541624875,1.0,4.028894360994599,40288.943609945985
4,very_strict,2,0.2,0.1,self-report-heavy,high,1.0,0.00225,0.0,0.11381977724872577,18,9982,2000,0,18,7982,0.2003606491685033,1.0,4.0319722702907,40319.722702907
4,very_strict,3,0.2,0.1,self-report-heavy,high,1.0,0.004375,0.0,0.12650455467674987,35,9965,2000,0,35,7965,0.2007024586051179,1.0,4.02592859653746,40259.2859653746
4,very_strict,4,0.2,0.1,self-report-heavy,high,1.0,0.003375,0.0,0.1190404192570054,27,9973,2000,0,27,7973,0.20054146194725758,1.0,4.023799315717758,40237.99315717758
