replicate,nc_detection,nc_throughput,nc_fn_harm,c_detection,c_throughput,c_fn_harm,regime
0,0.999,0.21775,0.7911480330395114,0.7865,0.80725,113.24127760634971,AR_decoupled_scm
1,0.998,0.217125,1.9836840973892478,0.783,0.812125,115.76256175290303,AR_decoupled_scm
2,0.998,0.213,0.7384340541498454,0.7665,0.805625,118.06494670184284,AR_decoupled_scm
3,0.9965,0.221,2.235479728591318,0.769,0.809,123.60317715086101,AR_decoupled_scm
4,0.9965,0.2155,1.6372175263117708,0.7615,0.80675,122.91493746858202,AR_decoupled_scm
